,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_7,p2_8,p1_crowns,p2_crowns
13,Giant Snowball,Barbarian Barrel,Bandit,Inferno Dragon,Ram Rider,Magic Archer,Ice Golem,Lumberjack,Skeletons,Executioner,Elixir Golem,Night Witch,The Log,Magic Archer,Rocket,Tornado,3,1
14,Giant Snowball,Barbarian Barrel,Bandit,Inferno Dragon,Ram Rider,Magic Archer,Ice Golem,Lumberjack,Elixir Golem,The Log,Skeletons,Executioner,Magic Archer,Rocket,Tornado,Night Witch,2,1
15,Giant Snowball,Barbarian Barrel,Bandit,Inferno Dragon,Ram Rider,Magic Archer,Ice Golem,Lumberjack,Zap,Minions,Barbarian Barrel,Musketeer,Wall Breakers,Magic Archer,Miner,Mega Knight,1,0
16,Giant Snowball,Barbarian Barrel,Bandit,Inferno Dragon,Ram Rider,Magic Archer,Ice Golem,Lumberjack,Barbarian Barrel,Ice Wizard,Graveyard,Poison,Baby Dragon,Tombstone,Valkyrie,Tornado,0,1
17,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,The Log,Skeletons,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Lightning,Tornado,1,0
18,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,The Log,Skeletons,Wall Breakers,Zap,Goblin Gang,Executioner,Dart Goblin,Miner,Mega Knight,Bats,1,0
19,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,The Log,Skeletons,Goblin Barrel,Spear Goblins,Bats,Zap,The Log,Mega Knight,Inferno Dragon,Ice Wizard,1,0
20,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,The Log,Skeletons,Miner,Poison,The Log,Electro Wizard,Inferno Tower,Valkyrie,Skeletons,Ice Spirit,1,0
21,Minion Horde,Mirror,Furnace,Rocket,Goblin Gang,Bowler,Arrows,Goblin Barrel,Mini P.E.K.K.A,Wizard,Miner,Goblin Gang,The Log,Fireball,Hog Rider,Zap,0,3
22,Minion Horde,Mirror,Furnace,Rocket,Goblin Gang,Bowler,Arrows,Goblin Barrel,Giant,Sparky,Tornado,Skeletons,Executioner,Mini P.E.K.K.A,Zap,Bats,0,3
23,Minion Horde,Mirror,Furnace,Rocket,Goblin Gang,Bowler,Arrows,Goblin Barrel,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,Zap,Skeletons,0,3
24,Minion Horde,Mirror,Furnace,Rocket,Goblin Gang,Bowler,Arrows,Goblin Barrel,Ice Spirit,Fire Spirits,Tornado,Zap,Miner,Balloon,Ice Wizard,Valkyrie,0,3
25,Minion Horde,Mirror,Furnace,Rocket,Goblin Gang,Bowler,Arrows,Goblin Barrel,Magic Archer,Giant Skeleton,Sparky,Mega Knight,Goblin Barrel,Mirror,P.E.K.K.A,Witch,0,3
26,Inferno Dragon,Graveyard,Magic Archer,Miner,Night Witch,Mega Knight,Lava Hound,Ram Rider,Golem,Night Witch,Mini P.E.K.K.A,Earthquake,Poison,Baby Dragon,Dart Goblin,Ice Spirit,0,3
27,Giant,Bowler,Tombstone,Lightning,Musketeer,Mega Minion,Guards,Arrows,P.E.K.K.A,Magic Archer,Royal Ghost,Bandit,Zap,Poison,Battle Ram,Electro Wizard,1,0
28,Bats,Bomb Tower,The Log,Miner,Magic Archer,Skeletons,Valkyrie,Wall Breakers,Dark Prince,Goblin Barrel,Rocket,Valkyrie,Night Witch,Rage,Balloon,Baby Dragon,3,0
29,Barbarian Barrel,Battle Ram,Ice Golem,Giant Snowball,Inferno Dragon,Magic Archer,Bandit,Lumberjack,Witch,Wizard,Valkyrie,Skeleton Army,Miner,Hog Rider,Rage,Balloon,2,0
30,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Royal Ghost,Zap,Electro Wizard,Bandit,Poison,Battle Ram,P.E.K.K.A,Magic Archer,1,0
31,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Wall Breakers,Goblin Gang,Zap,Executioner,Bats,Mega Knight,Dart Goblin,Miner,1,0
32,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Goblin Gang,Zap,Bats,Dart Goblin,Wall Breakers,Miner,Executioner,Mega Knight,1,2
33,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Balloon,Miner,Executioner,Ice Spirit,Skeletons,Zap,Tornado,Valkyrie,3,1
34,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Magic Archer,Poison,Bats,Miner,Bomb Tower,Valkyrie,Wall Breakers,The Log,3,0
35,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,Zap,Skeletons,2,0
36,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Bats,Valkyrie,Magic Archer,Poison,The Log,Miner,Wall Breakers,Bomb Tower,1,0
37,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Tornado,The Log,Rocket,Skeletons,Ice Wizard,X-Bow,Tesla,Valkyrie,2,0
38,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,P.E.K.K.A,Zap,Bandit,Royal Ghost,Poison,Battle Ram,Electro Wizard,Magic Archer,2,1
39,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Goblin Barrel,Prince,Rascals,The Log,Dart Goblin,Princess,Goblin Gang,Rocket,2,0
40,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Furnace,Minion Horde,Elite Barbarians,Royal Ghost,Skeleton Army,The Log,Wizard,Bandit,1,0
41,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Goblin Barrel,Ice Spirit,Rocket,Inferno Tower,Goblin Gang,Princess,The Log,Knight,3,0
42,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Zap,Dart Goblin,Miner,The Log,Skeleton Army,Electro Wizard,P.E.K.K.A,Goblin Barrel,3,0
43,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Zap,Bats,Wall Breakers,Tornado,Executioner,Bandit,Miner,Mega Knight,1,0
44,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Valkyrie,Bomb Tower,Bats,Skeletons,Magic Archer,Miner,Wall Breakers,Zap,1,0
45,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,2,0
46,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Miner,Wall Breakers,Magic Archer,The Log,Skeletons,Bats,Valkyrie,Bomb Tower,3,0
47,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Valkyrie,Hog Rider,Bomb Tower,Zap,Archers,Bats,Barbarian Barrel,Earthquake,1,0
48,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,1,2
49,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Tornado,Executioner,Skeletons,Night Witch,Elixir Golem,The Log,Magic Archer,Rocket,2,1
50,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Magic Archer,Executioner,Skeletons,Night Witch,Elixir Golem,Rocket,The Log,Tornado,0,1
51,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,Musketeer,Ice Golem,Giant Snowball,Barbarian Barrel,Balloon,Lumberjack,Bomb Tower,Bats,2,1
52,The Log,Mini P.E.K.K.A,Fireball,Furnace,Dark Prince,Princess,Goblin Barrel,Rascals,Freeze,Balloon,Giant Snowball,Bats,Musketeer,Miner,Lumberjack,Ice Golem,0,1
53,The Log,Mini P.E.K.K.A,Fireball,Furnace,Dark Prince,Princess,Goblin Barrel,Rascals,Skeletons,Poison,Zap,Night Witch,Magic Archer,Witch,Elixir Golem,Mega Knight,1,0
54,The Log,Mini P.E.K.K.A,Fireball,Furnace,Dark Prince,Princess,Goblin Barrel,Rascals,X-Bow,Skeletons,Arrows,Tesla,Minions,Barbarians,Musketeer,Elixir Collector,1,0
55,The Log,Mini P.E.K.K.A,Fireball,Furnace,Dark Prince,Princess,Goblin Barrel,Rascals,Executioner,Lightning,Night Witch,Clone,Ice Wizard,Elixir Golem,Tornado,The Log,0,1
56,Valkyrie,Freeze,Baby Dragon,Executioner,Goblins,Graveyard,Barbarian Barrel,Tornado,Wizard,Mega Knight,Furnace,Minion Horde,Rage,Valkyrie,Inferno Tower,Balloon,1,0
57,Valkyrie,Freeze,Baby Dragon,Executioner,Goblins,Graveyard,Barbarian Barrel,Tornado,Musketeer,Bandit,Mega Knight,Dart Goblin,Witch,Arrows,Princess,Goblin Barrel,0,1
58,Valkyrie,Freeze,Baby Dragon,Executioner,Goblins,Graveyard,Barbarian Barrel,Tornado,Giant Snowball,Archers,Mega Minion,Barbarian Barrel,Guards,Freeze,Balloon,Lumberjack,1,0
59,Valkyrie,Freeze,Baby Dragon,Executioner,Goblins,Graveyard,Barbarian Barrel,Tornado,Hog Rider,Ice Wizard,Spear Goblins,Zap,Fireball,Mega Knight,Executioner,Baby Dragon,1,0
60,Valkyrie,Freeze,Baby Dragon,Executioner,Goblins,Graveyard,Barbarian Barrel,Tornado,Mirror,Goblin Giant,Mega Knight,Musketeer,Inferno Dragon,Valkyrie,Arrows,The Log,1,0
61,Valkyrie,Freeze,Baby Dragon,Executioner,Goblins,Graveyard,Barbarian Barrel,Tornado,Mega Knight,Fire Spirits,Zap,Valkyrie,Balloon,Archers,Minions,Ice Wizard,1,0
62,Valkyrie,Freeze,Baby Dragon,Executioner,Goblins,Graveyard,Barbarian Barrel,Tornado,Balloon,Rage,Giant Skeleton,Hog Rider,Wizard,Furnace,Arrows,Mini P.E.K.K.A,1,0
63,Valkyrie,Freeze,Baby Dragon,Executioner,Goblins,Graveyard,Barbarian Barrel,Tornado,Bats,Zap,Skeleton Barrel,Goblin Gang,Goblin Barrel,Dart Goblin,Mega Knight,Inferno Dragon,0,1
64,Valkyrie,Freeze,Baby Dragon,Executioner,Goblins,Graveyard,Barbarian Barrel,Tornado,Tornado,Wizard,Arrows,Balloon,Skeleton Army,Giant Skeleton,Goblin Gang,Miner,0,1
65,Valkyrie,Freeze,Baby Dragon,Executioner,Goblins,Graveyard,Barbarian Barrel,Tornado,Balloon,Miner,Executioner,Ice Spirit,Skeletons,Zap,Tornado,Valkyrie,1,0
66,P.E.K.K.A,Royal Ghost,Bandit,Poison,Electro Wizard,Battle Ram,Minions,Zap,Royal Ghost,Zap,Electro Wizard,Bandit,Poison,Battle Ram,P.E.K.K.A,Magic Archer,1,0
67,P.E.K.K.A,Royal Ghost,Bandit,Poison,Electro Wizard,Battle Ram,Minions,Zap,Bandit,Electro Wizard,Magic Archer,P.E.K.K.A,Ram Rider,Lightning,Barbarian Barrel,Giant Snowball,1,0
68,P.E.K.K.A,Royal Ghost,Bandit,Poison,Electro Wizard,Battle Ram,Minions,Zap,Golem,Night Witch,Lightning,Tornado,Executioner,Baby Dragon,Barbarian Barrel,Dark Prince,1,0
69,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,Golem,Night Witch,Magic Archer,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Rocket,2,1
70,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,Valkyrie,Bomb Tower,Bats,Skeletons,Magic Archer,Miner,Wall Breakers,Zap,0,1
71,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,1,2
72,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,Zap,Goblin Gang,Wall Breakers,Bandit,Miner,Inferno Dragon,Magic Archer,Mega Knight,2,1
73,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,Zap,Skeletons,1,0
74,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,Royal Giant,Miner,Valkyrie,Executioner,Goblins,Zap,Earthquake,Arrows,1,0
75,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,Baby Dragon,Dark Prince,Electro Wizard,Giant,Miner,Night Witch,Poison,Zap,1,0
76,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,Baby Dragon,Mini P.E.K.K.A,Goblin Barrel,The Log,Fireball,Lumberjack,Skeleton Army,Night Witch,1,0
77,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,Hog Rider,Tombstone,Ice Spirit,Mega Minion,Ice Wizard,Tornado,The Log,Rocket,1,0
78,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,Cannon Cart,Lightning,Arrows,Goblins,Lumberjack,Night Witch,Golem,Bats,3,0
79,Bats,Dart Goblin,Executioner,Goblin Gang,Mega Knight,Miner,Wall Breakers,Zap,Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,1,0
80,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage,Barbarian Barrel,Lightning,Electro Wizard,Bandit,P.E.K.K.A,Giant Snowball,Ram Rider,Baby Dragon,2,1
81,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage,Zap,Minions,Barbarian Barrel,Musketeer,Wall Breakers,Bandit,Miner,Mega Knight,2,1
82,Balloon,Miner,Executioner,Ice Spirit,Skeletons,Zap,Tornado,Valkyrie,Lava Hound,Baby Dragon,Prince,Inferno Dragon,Poison,Barbarian Barrel,Tombstone,Miner,1,0
83,Balloon,Miner,Executioner,Ice Spirit,Skeletons,Zap,Tornado,Valkyrie,Lightning,Bandit,Electro Wizard,Magic Archer,Zap,Barbarian Barrel,P.E.K.K.A,Ram Rider,1,0
84,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage,Giant Snowball,Lightning,Barbarian Barrel,P.E.K.K.A,Bandit,Electro Wizard,Magic Archer,Ram Rider,1,0
85,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage,Dark Prince,Magic Archer,Zap,Tornado,Poison,Miner,Night Witch,Mega Knight,2,1
86,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage,Barbarian Barrel,Electro Wizard,Elixir Golem,Executioner,Night Witch,Poison,Skeletons,Tornado,2,0
87,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage,Magic Archer,The Log,Bats,Skeletons,Wall Breakers,Valkyrie,Bomb Tower,Miner,2,1
88,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage,Miner,Wall Breakers,Bomb Tower,Skeletons,Bats,Magic Archer,Valkyrie,Zap,0,1
89,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage,Bats,Zap,Bomb Tower,Skeletons,Magic Archer,Valkyrie,Miner,Wall Breakers,1,0
90,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage,Goblin Barrel,Knight,Tornado,Princess,Goblin Gang,Ice Spirit,Rocket,The Log,3,0
91,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage,The Log,Tesla,X-Bow,Fireball,Skeletons,Ice Golem,Archers,Ice Spirit,1,0
92,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage,Barbarian Barrel,Prince,Mega Minion,Hunter,Guards,Poison,Giant Snowball,Golem,1,0
93,Elixir Golem,Executioner,Night Witch,Rocket,Magic Archer,The Log,Skeletons,Tornado,Mega Knight,Executioner,Zap,Tornado,Poison,Graveyard,Bandit,Electro Wizard,2,0
94,Elixir Golem,Executioner,Night Witch,Rocket,Magic Archer,The Log,Skeletons,Tornado,Skeletons,Bomb Tower,Wall Breakers,Magic Archer,Zap,Bats,Miner,Valkyrie,0,1
95,Elixir Golem,Executioner,Night Witch,Rocket,Magic Archer,The Log,Skeletons,Tornado,Mega Knight,Zap,Goblin Gang,Bats,Dart Goblin,Wall Breakers,Executioner,Miner,2,1
96,Elixir Golem,Executioner,Night Witch,Rocket,Magic Archer,The Log,Skeletons,Tornado,Bomb Tower,Miner,Magic Archer,Bats,Valkyrie,The Log,Wall Breakers,Skeletons,1,0
97,Elixir Golem,Executioner,Night Witch,Rocket,Magic Archer,The Log,Skeletons,Tornado,Bandit,Ram Rider,Dark Prince,Electro Wizard,Magic Archer,P.E.K.K.A,Lightning,Barbarian Barrel,1,0
98,Elixir Golem,Executioner,Night Witch,Rocket,Magic Archer,The Log,Skeletons,Tornado,Lumberjack,Golem,Tornado,Barbarian Barrel,Baby Dragon,Night Witch,Mega Minion,Lightning,3,0
99,Elixir Golem,Executioner,Night Witch,Rocket,Magic Archer,The Log,Skeletons,Tornado,Ice Spirit,Knight,Goblin Gang,Rocket,Inferno Tower,Goblin Barrel,Princess,The Log,2,0
100,Elixir Golem,Executioner,Night Witch,Rocket,Magic Archer,The Log,Skeletons,Tornado,Executioner,Night Witch,Tornado,Poison,Elixir Golem,Goblins,Sparky,Electro Wizard,1,0
101,Elixir Golem,Executioner,Night Witch,Rocket,Magic Archer,The Log,Skeletons,Tornado,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Lightning,Tornado,1,0
102,Elixir Golem,Executioner,Night Witch,Rocket,Magic Archer,The Log,Skeletons,Tornado,Zap,Electro Wizard,Ice Wizard,Royal Ghost,Fireball,Goblin Barrel,Mega Knight,Prince,2,1
103,Giant Snowball,Musketeer,Giant,Barbarian Barrel,Poison,Dark Prince,Night Witch,Graveyard,Lightning,Giant Snowball,Dark Prince,Barbarian Barrel,P.E.K.K.A,Electro Wizard,Magic Archer,Ram Rider,1,0
104,Giant Snowball,Musketeer,Giant,Barbarian Barrel,Poison,Dark Prince,Night Witch,Graveyard,Rocket,Skeletons,Tornado,Valkyrie,X-Bow,Tesla,The Log,Ice Wizard,1,0
105,Giant Snowball,Musketeer,Giant,Barbarian Barrel,Poison,Dark Prince,Night Witch,Graveyard,Mega Knight,Wall Breakers,Tornado,Bandit,Executioner,Zap,Bats,Miner,1,0
106,Giant Snowball,Musketeer,Giant,Barbarian Barrel,Poison,Dark Prince,Night Witch,Graveyard,Goblins,Miner,Poison,Tornado,Earthquake,Executioner,Valkyrie,Zap,1,0
107,Giant Snowball,Musketeer,Giant,Barbarian Barrel,Poison,Dark Prince,Night Witch,Graveyard,Tornado,Magic Archer,Valkyrie,Bomb Tower,Freeze,Executioner,Graveyard,Mega Knight,1,0
108,X-Bow,The Log,Ice Golem,Skeletons,Ice Spirit,Tesla,Fireball,Archers,Executioner,Miner,Rocket,Royal Giant,Goblins,The Log,Tornado,Valkyrie,0,1
109,Barbarian Barrel,Electro Wizard,Elixir Golem,Executioner,Night Witch,Rocket,Sparky,Tornado,Elixir Golem,Graveyard,Executioner,Skeletons,Night Witch,Zap,Tornado,Freeze,0,1
110,Cannon,Skeletons,Ice Spirit,Ice Golem,Hog Rider,The Log,Musketeer,Fireball,Balloon,Miner,Executioner,Ice Spirit,Skeletons,Zap,Tornado,Valkyrie,0,1
111,Cannon,Skeletons,Ice Spirit,Ice Golem,Hog Rider,The Log,Musketeer,Fireball,Magic Archer,Mega Knight,Night Witch,Elixir Golem,Tornado,Executioner,Barbarian Barrel,Lightning,0,1
112,Cannon,Skeletons,Ice Spirit,Ice Golem,Hog Rider,The Log,Musketeer,Fireball,X-Bow,Fireball,Tesla,Archers,The Log,Ice Golem,Ice Spirit,Skeletons,1,0
113,Cannon,Skeletons,Ice Spirit,Ice Golem,Hog Rider,The Log,Musketeer,Fireball,P.E.K.K.A,Battle Ram,Bandit,Royal Ghost,Poison,Electro Wizard,Zap,Magic Archer,1,0
114,Night Witch,Dark Prince,Minions,Battle Ram,Lumberjack,Giant Snowball,Poison,Musketeer,Electro Wizard,Bandit,Mega Knight,Witch,Barbarian Barrel,Valkyrie,Fireball,Wizard,1,2
115,Royal Giant,Miner,Valkyrie,Executioner,Goblins,Zap,Earthquake,Tornado,Valkyrie,Goblins,Executioner,Barbarian Barrel,Graveyard,Freeze,Tornado,Baby Dragon,1,0
116,Royal Giant,Miner,Valkyrie,Executioner,Goblins,Zap,Earthquake,Tornado,Royal Giant,Mini P.E.K.K.A,Bats,Zap,The Log,Skeleton Army,Ice Wizard,Executioner,1,0
117,Royal Giant,Miner,Valkyrie,Executioner,Goblins,Zap,Earthquake,Tornado,Rage,Mega Knight,Bomber,Furnace,Inferno Dragon,Zap,Balloon,Freeze,1,0
118,Royal Giant,Miner,Valkyrie,Executioner,Goblins,Zap,Earthquake,Tornado,Golem,Inferno Tower,Baby Dragon,Goblin Gang,Night Witch,Ice Wizard,The Log,Electro Wizard,1,0
119,Ice Spirit,Dart Goblin,Valkyrie,Tesla,Goblin Barrel,Princess,Skeletons,The Log,Golem,Night Witch,Baby Dragon,Executioner,Goblin Cage,Barbarian Barrel,Tornado,Lightning,1,0
120,Magic Archer,Mega Knight,Skeletons,Royal Giant,Tornado,Executioner,The Log,Lightning,Valkyrie,Bomb Tower,Bats,Skeletons,Magic Archer,Miner,Wall Breakers,The Log,0,1
121,Magic Archer,Mega Knight,Skeletons,Royal Giant,Tornado,Executioner,The Log,Lightning,Zap,Minions,Barbarian Barrel,Musketeer,Wall Breakers,Bandit,Miner,Mega Knight,0,1
122,Magic Archer,Mega Knight,Skeletons,Royal Giant,Tornado,Executioner,The Log,Lightning,Magic Archer,Barbarian Barrel,Executioner,Goblin Cage,Golem,Rocket,Night Witch,Tornado,1,0
123,Magic Archer,Mega Knight,Skeletons,Royal Giant,Tornado,Executioner,The Log,Lightning,Skeletons,Barbarian Barrel,Executioner,Tornado,Musketeer,Valkyrie,Graveyard,Poison,1,0
124,Magic Archer,Mega Knight,Skeletons,Royal Giant,Tornado,Executioner,The Log,Lightning,P.E.K.K.A,Lightning,Electro Wizard,Ram Rider,Magic Archer,Barbarian Barrel,Giant Snowball,Bandit,1,0
125,Magic Archer,Mega Knight,Skeletons,Royal Giant,Tornado,Executioner,The Log,Lightning,Hog Rider,Tombstone,Tornado,Zap,Ice Wizard,Freeze,P.E.K.K.A,Baby Dragon,1,0
126,Magic Archer,Mega Knight,Skeletons,Royal Giant,Tornado,Executioner,The Log,Lightning,Miner,Wall Breakers,Mega Knight,Executioner,Dart Goblin,Goblin Gang,Bats,Zap,2,1
127,Valkyrie,Bomb Tower,Bats,Skeletons,Magic Archer,Miner,Wall Breakers,The Log,The Log,Electro Wizard,Miner,Hog Rider,Executioner,Knight,Princess,Skeleton Army,0,1
128,Valkyrie,Bomb Tower,Bats,Skeletons,Magic Archer,Miner,Wall Breakers,The Log,P.E.K.K.A,Musketeer,Ice Wizard,Mega Minion,The Log,Zap,Royal Giant,Lightning,1,0
129,Valkyrie,Bomb Tower,Bats,Skeletons,Magic Archer,Miner,Wall Breakers,The Log,Cannon,The Log,Fireball,Ice Golem,Hog Rider,Musketeer,Ice Spirit,Skeletons,1,0
